# annual_volume_million_m3_per_year prob_cost_below_threshold risk_cost_above_threshold
2.258585815820817744e-01 1.000000000000000000e+00 0.000000000000000000e+00
2.489053756210696522e-01 1.000000000000000000e+00 0.000000000000000000e+00
2.719521696600576410e-01 1.000000000000000000e+00 0.000000000000000000e+00
2.949989636990456576e-01 1.000000000000000000e+00 0.000000000000000000e+00
3.180457577380335077e-01 1.000000000000000000e+00 0.000000000000000000e+00
3.410925517770213578e-01 1.000000000000000000e+00 0.000000000000000000e+00
3.641393458160093743e-01 1.000000000000000000e+00 0.000000000000000000e+00
3.871861398549972799e-01 1.000000000000000000e+00 0.000000000000000000e+00
4.102329338939852410e-01 1.000000000000000000e+00 0.000000000000000000e+00
4.332797279329731466e-01 1.000000000000000000e+00 0.000000000000000000e+00
4.563265219719610521e-01 1.000000000000000000e+00 0.000000000000000000e+00
4.793733160109490132e-01 1.000000000000000000e+00 0.000000000000000000e+00
5.024201100499370298e-01 1.000000000000000000e+00 0.000000000000000000e+00
5.254669040889248244e-01 1.000000000000000000e+00 0.000000000000000000e+00
5.485136981279129520e-01 1.000000000000000000e+00 0.000000000000000000e+00
5.715604921669008576e-01 1.000000000000000000e+00 0.000000000000000000e+00
5.946072862058887631e-01 1.000000000000000000e+00 0.000000000000000000e+00
6.176540802448766687e-01 1.000000000000000000e+00 0.000000000000000000e+00
6.407008742838644633e-01 1.000000000000000000e+00 0.000000000000000000e+00
6.637476683228524799e-01 1.000000000000000000e+00 0.000000000000000000e+00
6.867944623618403854e-01 1.000000000000000000e+00 0.000000000000000000e+00
7.098412564008284020e-01 1.000000000000000000e+00 0.000000000000000000e+00
7.328880504398163076e-01 1.000000000000000000e+00 0.000000000000000000e+00
7.559348444788043242e-01 1.000000000000000000e+00 0.000000000000000000e+00
7.789816385177922298e-01 1.000000000000000000e+00 0.000000000000000000e+00
8.020284325567801353e-01 1.000000000000000000e+00 0.000000000000000000e+00
8.250752265957679299e-01 1.000000000000000000e+00 0.000000000000000000e+00
8.481220206347560575e-01 1.000000000000000000e+00 0.000000000000000000e+00
8.711688146737437410e-01 1.000000000000000000e+00 0.000000000000000000e+00
8.942156087127319797e-01 1.000000000000000000e+00 0.000000000000000000e+00
9.172624027517196632e-01 1.000000000000000000e+00 0.000000000000000000e+00
9.403091967907079018e-01 5.999999999999999778e-01 4.000000000000000222e-01
9.633559908296955854e-01 0.000000000000000000e+00 1.000000000000000000e+00
9.864027848686836020e-01 0.000000000000000000e+00 1.000000000000000000e+00
1.009449578907671397e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.032496372946659413e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.055543166985647208e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.078589961024635002e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.101636755063623463e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.124683549102611035e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.147730343141599052e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.170777137180587069e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.193823931219575085e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.216870725258562880e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.239917519297550896e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.262964313336538913e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.286011107375526707e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.309057901414514724e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.332104695453502741e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.355151489492490757e+00 0.000000000000000000e+00 1.000000000000000000e+00
